机组序号	第一段功率(MW)	第二段功率(MW)	第三段功率(MW)	第四段功率(MW)	第五段功率(MW)
1              61              61              61              61              61
2              61              61              61              61              61
3              22              22              22              22              22
4              22              22              22              22              22
5              27.4              27.4              27.4              27.4              27.4
6              12              12              12              12              12
7              12              12              12              12              12
8              9              9              9              9              9
9              9              9              9              9              9
10              9              9              9              9              9
11              61              61              61              61              61
12              61              61              61              61              61
13              22              22              22              22              22
14              22              22              22              22              22
15              27.4              27.4              27.4              27.4              27.4
16              12              12              12              12              12
17              12              12              12              12              12
18              9              9              9              9              9
19              9              9              9              9              9
20              9              9              9              9              9
21              61              61              61              61              61
22              61              61              61              61              61
23              22              22              22              22              22
24              22              22              22              22              22
25              27.4              27.4              27.4              27.4              27.4
26              12              12              12              12              12
27              12              12              12              12              12
28              9              9              9              9              9
29              9              9              9              9              9
30              9              9              9              9              9
31              61              61              61              61              61
32              61              61              61              61              61
33              22              22              22              22              22
34              22              22              22              22              22
35              27.4              27.4              27.4              27.4              27.4
36              12              12              12              12              12
37              12              12              12              12              12
38              9              9              9              9              9
39              9              9              9              9              9
40              9              9              9              9              9
41              61              61              61              61              61
42              61              61              61              61              61
43              22              22              22              22              22
44              22              22              22              22              22
45              27.4              27.4              27.4              27.4              27.4
46              12              12              12              12              12
47              12              12              12              12              12
48              9              9              9              9              9
49              9              9              9              9              9
50              9              9              9              9              9
51              61              61              61              61              61
52              61              61              61              61              61
53              22              22              22              22              22
54              22              22              22              22              22
55              27.4              27.4              27.4              27.4              27.4
56              12              12              12              12              12
57              12              12              12              12              12
58              9              9              9              9              9
59              9              9              9              9              9
60              9              9              9              9              9
61              61              61              61              61              61
62              61              61              61              61              61
63              22              22              22              22              22
64              22              22              22              22              22
65              27.4              27.4              27.4              27.4              27.4
66              12              12              12              12              12
67              12              12              12              12              12
68              9              9              9              9              9
69              9              9              9              9              9
70              9              9              9              9              9
71              61              61              61              61              61
72              61              61              61              61              61
73              22              22              22              22              22
74              22              22              22              22              22
75              27.4              27.4              27.4              27.4              27.4
76              12              12              12              12              12
77              12              12              12              12              12
78              9              9              9              9              9
79              9              9              9              9              9
80              9              9              9              9              9
81              61              61              61              61              61
82              61              61              61              61              61
83              22              22              22              22              22
84              22              22              22              22              22
85              27.4              27.4              27.4              27.4              27.4
86              12              12              12              12              12
87              12              12              12              12              12
88              9              9              9              9              9
89              9              9              9              9              9
90              9              9              9              9              9
91              61              61              61              61              61
92              61              61              61              61              61
93              22              22              22              22              22
94              22              22              22              22              22
95              27.4              27.4              27.4              27.4              27.4
96              12              12              12              12              12
97              12              12              12              12              12
98              9              9              9              9              9
99              9              9              9              9              9
100              9              9              9              9              9
