时段数	系统负荷大小（MW）
1           30499.2
2           30682.1
3           32095.7
4           31816.2
5           34345.9
6           38515.5
7           41851.5
8           45108.4
9           48653.8
10           51472.5
11           53282.7
12           53407.5
13           50914.1
14           47629.8
15           46160.8
16           43045.7
17           41529.5
18           44306.7
19           48018.9
20           53100.2
21           50808
22           44456
23           38731.8
24           34834.2
