机组序号	第一段功率(MW)	第二段功率(MW)	第三段功率(MW)	第四段功率(MW)	第五段功率(MW)
1              3.6              3.6              3.6              3.6              3.6
2              3.6              3.6              3.6              3.6              3.6
3              3.6              3.6              3.6              3.6              3.6
4              60              60              60              60              60
5              36              36              36              36              36
6              3.6              3.6              3.6              3.6              3.6
7              12              12              12              12              12
8              3.6              3.6              3.6              3.6              3.6
9              3.6              3.6              3.6              3.6              3.6
10              36              36              36              36              36
11              42              42              42              42              42
12              3.6              3.6              3.6              3.6              3.6
13              3.6              3.6              3.6              3.6              3.6
14              12              12              12              12              12
15              3.6              3.6              3.6              3.6              3.6
16              12              12              12              12              12
17              3.6              3.6              3.6              3.6              3.6
18              3.6              3.6              3.6              3.6              3.6
19              12              12              12              12              12
20              30              30              30              30              30
21              30              30              30              30              30
22              12              12              12              12              12
23              12              12              12              12              12
24              24              24              24              24              24
25              24              24              24              24              24
26              12              12              12              12              12
27              50.4              50.4              50.4              50.4              50.4
28              50.4              50.4              50.4              50.4              50.4
29              36              36              36              36              36
30              9.6              9.6              9.6              9.6              9.6
31              3.6              3.6              3.6              3.6              3.6
32              3.6              3.6              3.6              3.6              3.6
33              2.4              2.4              2.4              2.4              2.4
34              12              12              12              12              12
35              12              12              12              12              12
36              60              60              60              60              60
37              12              12              12              12              12
38              3.6              3.6              3.6              3.6              3.6
39              78              78              78              78              78
40              100              100              100              100              100
41              2.4              2.4              2.4              2.4              2.4
42              6              6              6              6              6
43              36              36              36              36              36
44              36              36              36              36              36
45              36              36              36              36              36
46              2.4              2.4              2.4              2.4              2.4
47              12              12              12              12              12
48              12              12              12              12              12
49              2.4              2.4              2.4              2.4              2.4
50              6              6              6              6              6
51              12              12              12              12              12
52              12              12              12              12              12
53              12              12              12              12              12
54              12              12              12              12              12
55              61              61              61              61              61
56              61              61              61              61              61
57              22              22              22              22              22
58              22              22              22              22              22
59              27.4              27.4              27.4              27.4              27.4
60              12              12              12              12              12
61              12              12              12              12              12
62              9              9              9              9              9
63              9              9              9              9              9
64              9              9              9              9              9
