时段数	系统负荷大小（MW）
1           4792.4
2           4790.73
3           4658.56
4           4152.51
5           4623.77
6           5239.42
7           5900.42
8           6369.63
9           6935.74
10           7458.85
11           7556.6
12           7401.32
13           6958.88
14           6666.66
15           6858.69
16           6556.67
17           6372.7
18           6683.16
19           7216.45
20           7645.56
21           7583.21
22           6707.29
23           6078.22
24           5559.16
