机组序号	第一段功率(MW)	第二段功率(MW)	第三段功率(MW)	第四段功率(MW)	第五段功率(MW)
1              3.6              3.6              3.6              3.6              3.6
2              3.6              3.6              3.6              3.6              3.6
3              3.6              3.6              3.6              3.6              3.6
4              60              60              60              60              60
5              36              36              36              36              36
6              3.6              3.6              3.6              3.6              3.6
7              12              12              12              12              12
8              3.6              3.6              3.6              3.6              3.6
9              3.6              3.6              3.6              3.6              3.6
10              36              36              36              36              36
11              42              42              42              42              42
12              3.6              3.6              3.6              3.6              3.6
13              3.6              3.6              3.6              3.6              3.6
14              12              12              12              12              12
15              3.6              3.6              3.6              3.6              3.6
16              12              12              12              12              12
17              3.6              3.6              3.6              3.6              3.6
18              3.6              3.6              3.6              3.6              3.6
19              12              12              12              12              12
20              30              30              30              30              30
21              30              30              30              30              30
22              12              12              12              12              12
23              12              12              12              12              12
24              24              24              24              24              24
25              24              24              24              24              24
26              12              12              12              12              12
27              50.4              50.4              50.4              50.4              50.4
28              50.4              50.4              50.4              50.4              50.4
29              36              36              36              36              36
30              9.6              9.6              9.6              9.6              9.6
31              3.6              3.6              3.6              3.6              3.6
32              3.6              3.6              3.6              3.6              3.6
33              2.4              2.4              2.4              2.4              2.4
34              12              12              12              12              12
35              12              12              12              12              12
36              60              60              60              60              60
37              12              12              12              12              12
38              3.6              3.6              3.6              3.6              3.6
39              78              78              78              78              78
40              100              100              100              100              100
41              2.4              2.4              2.4              2.4              2.4
42              6              6              6              6              6
43              36              36              36              36              36
44              36              36              36              36              36
45              36              36              36              36              36
46              2.4              2.4              2.4              2.4              2.4
47              12              12              12              12              12
48              12              12              12              12              12
49              2.4              2.4              2.4              2.4              2.4
50              6              6              6              6              6
51              12              12              12              12              12
52              12              12              12              12              12
53              12              12              12              12              12
54              12              12              12              12              12
55              3.6              3.6              3.6              3.6              3.6
56              3.6              3.6              3.6              3.6              3.6
57              3.6              3.6              3.6              3.6              3.6
58              60              60              60              60              60
59              36              36              36              36              36
60              3.6              3.6              3.6              3.6              3.6
61              12              12              12              12              12
62              3.6              3.6              3.6              3.6              3.6
63              3.6              3.6              3.6              3.6              3.6
64              36              36              36              36              36
65              42              42              42              42              42
66              3.6              3.6              3.6              3.6              3.6
67              3.6              3.6              3.6              3.6              3.6
68              12              12              12              12              12
69              3.6              3.6              3.6              3.6              3.6
70              12              12              12              12              12
71              3.6              3.6              3.6              3.6              3.6
72              3.6              3.6              3.6              3.6              3.6
73              12              12              12              12              12
74              30              30              30              30              30
75              30              30              30              30              30
76              12              12              12              12              12
77              12              12              12              12              12
78              24              24              24              24              24
79              24              24              24              24              24
80              12              12              12              12              12
81              50.4              50.4              50.4              50.4              50.4
82              50.4              50.4              50.4              50.4              50.4
83              36              36              36              36              36
84              9.6              9.6              9.6              9.6              9.6
85              3.6              3.6              3.6              3.6              3.6
86              3.6              3.6              3.6              3.6              3.6
87              2.4              2.4              2.4              2.4              2.4
88              12              12              12              12              12
89              12              12              12              12              12
90              60              60              60              60              60
91              12              12              12              12              12
92              3.6              3.6              3.6              3.6              3.6
93              78              78              78              78              78
94              100              100              100              100              100
95              2.4              2.4              2.4              2.4              2.4
96              6              6              6              6              6
97              36              36              36              36              36
98              36              36              36              36              36
99              36              36              36              36              36
100              2.4              2.4              2.4              2.4              2.4
101              12              12              12              12              12
102              12              12              12              12              12
103              2.4              2.4              2.4              2.4              2.4
104              6              6              6              6              6
105              12              12              12              12              12
106              12              12              12              12              12
107              12              12              12              12              12
108              12              12              12              12              12
109              61              61              61              61              61
110              61              61              61              61              61
111              22              22              22              22              22
112              22              22              22              22              22
113              27.4              27.4              27.4              27.4              27.4
114              12              12              12              12              12
115              12              12              12              12              12
116              9              9              9              9              9
117              9              9              9              9              9
118              9              9              9              9              9
119              61              61              61              61              61
120              61              61              61              61              61
121              22              22              22              22              22
122              22              22              22              22              22
123              27.4              27.4              27.4              27.4              27.4
124              12              12              12              12              12
125              12              12              12              12              12
126              9              9              9              9              9
127              9              9              9              9              9
128              9              9              9              9              9
129              61              61              61              61              61
130              61              61              61              61              61
131              22              22              22              22              22
132              22              22              22              22              22
133              27.4              27.4              27.4              27.4              27.4
134              12              12              12              12              12
135              12              12              12              12              12
136              9              9              9              9              9
137              9              9              9              9              9
138              9              9              9              9              9
139              61              61              61              61              61
140              61              61              61              61              61
141              22              22              22              22              22
142              22              22              22              22              22
143              27.4              27.4              27.4              27.4              27.4
144              12              12              12              12              12
145              12              12              12              12              12
146              9              9              9              9              9
147              9              9              9              9              9
148              9              9              9              9              9
149              61              61              61              61              61
150              61              61              61              61              61
151              22              22              22              22              22
152              22              22              22              22              22
153              27.4              27.4              27.4              27.4              27.4
154              12              12              12              12              12
155              12              12              12              12              12
156              9              9              9              9              9
157              9              9              9              9              9
158              9              9              9              9              9
159              61              61              61              61              61
160              61              61              61              61              61
161              22              22              22              22              22
162              22              22              22              22              22
163              27.4              27.4              27.4              27.4              27.4
164              12              12              12              12              12
165              12              12              12              12              12
166              9              9              9              9              9
167              9              9              9              9              9
168              9              9              9              9              9
169              61              61              61              61              61
170              61              61              61              61              61
171              22              22              22              22              22
172              22              22              22              22              22
173              27.4              27.4              27.4              27.4              27.4
174              12              12              12              12              12
175              12              12              12              12              12
176              9              9              9              9              9
177              9              9              9              9              9
178              9              9              9              9              9
179              61              61              61              61              61
180              61              61              61              61              61
181              22              22              22              22              22
182              22              22              22              22              22
183              27.4              27.4              27.4              27.4              27.4
184              12              12              12              12              12
185              12              12              12              12              12
186              9              9              9              9              9
187              9              9              9              9              9
188              9              9              9              9              9
189              61              61              61              61              61
190              61              61              61              61              61
191              22              22              22              22              22
192              22              22              22              22              22
193              27.4              27.4              27.4              27.4              27.4
194              12              12              12              12              12
195              12              12              12              12              12
196              9              9              9              9              9
197              9              9              9              9              9
198              9              9              9              9              9
199              61              61              61              61              61
200              61              61              61              61              61
201              22              22              22              22              22
202              22              22              22              22              22
203              27.4              27.4              27.4              27.4              27.4
204              12              12              12              12              12
205              12              12              12              12              12
206              9              9              9              9              9
207              9              9              9              9              9
208              9              9              9              9              9
209              61              61              61              61              61
210              61              61              61              61              61
211              22              22              22              22              22
212              22              22              22              22              22
213              27.4              27.4              27.4              27.4              27.4
214              12              12              12              12              12
215              12              12              12              12              12
216              9              9              9              9              9
217              9              9              9              9              9
218              9              9              9              9              9
219              61              61              61              61              61
220              61              61              61              61              61
221              22              22              22              22              22
222              22              22              22              22              22
223              27.4              27.4              27.4              27.4              27.4
224              12              12              12              12              12
225              12              12              12              12              12
226              9              9              9              9              9
227              9              9              9              9              9
228              9              9              9              9              9
229              61              61              61              61              61
230              61              61              61              61              61
231              22              22              22              22              22
232              22              22              22              22              22
233              27.4              27.4              27.4              27.4              27.4
234              12              12              12              12              12
235              12              12              12              12              12
236              9              9              9              9              9
237              9              9              9              9              9
238              9              9              9              9              9
239              61              61              61              61              61
240              61              61              61              61              61
241              22              22              22              22              22
242              22              22              22              22              22
243              27.4              27.4              27.4              27.4              27.4
244              12              12              12              12              12
245              12              12              12              12              12
246              9              9              9              9              9
247              9              9              9              9              9
248              9              9              9              9              9
249              61              61              61              61              61
250              61              61              61              61              61
251              22              22              22              22              22
252              22              22              22              22              22
253              27.4              27.4              27.4              27.4              27.4
254              12              12              12              12              12
255              12              12              12              12              12
256              9              9              9              9              9
257              9              9              9              9              9
258              9              9              9              9              9
259              61              61              61              61              61
260              61              61              61              61              61
261              22              22              22              22              22
262              22              22              22              22              22
263              27.4              27.4              27.4              27.4              27.4
264              12              12              12              12              12
265              12              12              12              12              12
266              9              9              9              9              9
267              9              9              9              9              9
268              9              9              9              9              9
269              61              61              61              61              61
270              61              61              61              61              61
271              22              22              22              22              22
272              22              22              22              22              22
273              27.4              27.4              27.4              27.4              27.4
274              12              12              12              12              12
275              12              12              12              12              12
276              9              9              9              9              9
277              9              9              9              9              9
278              9              9              9              9              9
279              61              61              61              61              61
280              61              61              61              61              61
281              22              22              22              22              22
282              22              22              22              22              22
283              27.4              27.4              27.4              27.4              27.4
284              12              12              12              12              12
285              12              12              12              12              12
286              9              9              9              9              9
287              9              9              9              9              9
288              9              9              9              9              9
289              61              61              61              61              61
290              61              61              61              61              61
291              22              22              22              22              22
292              22              22              22              22              22
293              27.4              27.4              27.4              27.4              27.4
294              12              12              12              12              12
295              12              12              12              12              12
296              9              9              9              9              9
297              9              9              9              9              9
298              9              9              9              9              9
299              61              61              61              61              61
300              61              61              61              61              61
301              22              22              22              22              22
302              22              22              22              22              22
303              27.4              27.4              27.4              27.4              27.4
304              12              12              12              12              12
305              12              12              12              12              12
306              9              9              9              9              9
307              9              9              9              9              9
308              9              9              9              9              9
309              61              61              61              61              61
310              61              61              61              61              61
311              22              22              22              22              22
312              22              22              22              22              22
313              27.4              27.4              27.4              27.4              27.4
314              12              12              12              12              12
315              12              12              12              12              12
316              9              9              9              9              9
317              9              9              9              9              9
318              9              9              9              9              9
319              61              61              61              61              61
320              61              61              61              61              61
321              22              22              22              22              22
322              22              22              22              22              22
323              27.4              27.4              27.4              27.4              27.4
324              12              12              12              12              12
325              12              12              12              12              12
326              9              9              9              9              9
327              9              9              9              9              9
328              9              9              9              9              9
329              61              61              61              61              61
330              61              61              61              61              61
331              22              22              22              22              22
332              22              22              22              22              22
333              27.4              27.4              27.4              27.4              27.4
334              12              12              12              12              12
335              12              12              12              12              12
336              9              9              9              9              9
337              9              9              9              9              9
338              9              9              9              9              9
339              61              61              61              61              61
340              61              61              61              61              61
341              22              22              22              22              22
342              22              22              22              22              22
343              27.4              27.4              27.4              27.4              27.4
344              12              12              12              12              12
345              12              12              12              12              12
346              9              9              9              9              9
347              9              9              9              9              9
348              9              9              9              9              9
349              61              61              61              61              61
350              61              61              61              61              61
351              22              22              22              22              22
352              22              22              22              22              22
353              27.4              27.4              27.4              27.4              27.4
354              12              12              12              12              12
355              12              12              12              12              12
356              9              9              9              9              9
357              9              9              9              9              9
358              9              9              9              9              9
359              61              61              61              61              61
360              61              61              61              61              61
361              22              22              22              22              22
362              22              22              22              22              22
363              27.4              27.4              27.4              27.4              27.4
364              12              12              12              12              12
365              12              12              12              12              12
366              9              9              9              9              9
367              9              9              9              9              9
368              9              9              9              9              9
369              61              61              61              61              61
370              61              61              61              61              61
371              22              22              22              22              22
372              22              22              22              22              22
373              27.4              27.4              27.4              27.4              27.4
374              12              12              12              12              12
375              12              12              12              12              12
376              9              9              9              9              9
377              9              9              9              9              9
378              9              9              9              9              9
379              61              61              61              61              61
380              61              61              61              61              61
381              22              22              22              22              22
382              22              22              22              22              22
383              27.4              27.4              27.4              27.4              27.4
384              12              12              12              12              12
385              12              12              12              12              12
386              9              9              9              9              9
387              9              9              9              9              9
388              9              9              9              9              9
389              61              61              61              61              61
390              61              61              61              61              61
391              22              22              22              22              22
392              22              22              22              22              22
393              27.4              27.4              27.4              27.4              27.4
394              12              12              12              12              12
395              12              12              12              12              12
396              9              9              9              9              9
397              9              9              9              9              9
398              9              9              9              9              9
399              61              61              61              61              61
400              61              61              61              61              61
401              22              22              22              22              22
402              22              22              22              22              22
403              27.4              27.4              27.4              27.4              27.4
404              12              12              12              12              12
405              12              12              12              12              12
406              9              9              9              9              9
407              9              9              9              9              9
408              9              9              9              9              9
409              61              61              61              61              61
410              61              61              61              61              61
411              22              22              22              22              22
412              22              22              22              22              22
413              27.4              27.4              27.4              27.4              27.4
414              12              12              12              12              12
415              12              12              12              12              12
416              9              9              9              9              9
417              9              9              9              9              9
418              9              9              9              9              9
419              61              61              61              61              61
420              61              61              61              61              61
421              22              22              22              22              22
422              22              22              22              22              22
423              27.4              27.4              27.4              27.4              27.4
424              12              12              12              12              12
425              12              12              12              12              12
426              9              9              9              9              9
427              9              9              9              9              9
428              9              9              9              9              9
429              61              61              61              61              61
430              61              61              61              61              61
431              22              22              22              22              22
432              22              22              22              22              22
433              27.4              27.4              27.4              27.4              27.4
434              12              12              12              12              12
435              12              12              12              12              12
436              9              9              9              9              9
437              9              9              9              9              9
438              9              9              9              9              9
439              61              61              61              61              61
440              61              61              61              61              61
441              22              22              22              22              22
442              22              22              22              22              22
443              27.4              27.4              27.4              27.4              27.4
444              12              12              12              12              12
445              12              12              12              12              12
446              9              9              9              9              9
447              9              9              9              9              9
448              9              9              9              9              9
449              61              61              61              61              61
450              61              61              61              61              61
451              22              22              22              22              22
452              22              22              22              22              22
453              27.4              27.4              27.4              27.4              27.4
454              12              12              12              12              12
455              12              12              12              12              12
456              9              9              9              9              9
457              9              9              9              9              9
458              9              9              9              9              9
459              61              61              61              61              61
460              61              61              61              61              61
461              22              22              22              22              22
462              22              22              22              22              22
463              27.4              27.4              27.4              27.4              27.4
464              12              12              12              12              12
465              12              12              12              12              12
466              9              9              9              9              9
467              9              9              9              9              9
468              9              9              9              9              9
469              61              61              61              61              61
470              61              61              61              61              61
471              22              22              22              22              22
472              22              22              22              22              22
473              27.4              27.4              27.4              27.4              27.4
474              12              12              12              12              12
475              12              12              12              12              12
476              9              9              9              9              9
477              9              9              9              9              9
478              9              9              9              9              9
479              61              61              61              61              61
480              61              61              61              61              61
481              22              22              22              22              22
482              22              22              22              22              22
483              27.4              27.4              27.4              27.4              27.4
484              12              12              12              12              12
485              12              12              12              12              12
486              9              9              9              9              9
487              9              9              9              9              9
488              9              9              9              9              9
489              61              61              61              61              61
490              61              61              61              61              61
491              22              22              22              22              22
492              22              22              22              22              22
493              27.4              27.4              27.4              27.4              27.4
494              12              12              12              12              12
495              12              12              12              12              12
496              9              9              9              9              9
497              9              9              9              9              9
498              9              9              9              9              9
499              61              61              61              61              61
500              61              61              61              61              61
501              22              22              22              22              22
502              22              22              22              22              22
503              27.4              27.4              27.4              27.4              27.4
504              12              12              12              12              12
505              12              12              12              12              12
506              9              9              9              9              9
507              9              9              9              9              9
508              9              9              9              9              9
509              61              61              61              61              61
510              61              61              61              61              61
511              22              22              22              22              22
512              22              22              22              22              22
513              27.4              27.4              27.4              27.4              27.4
514              12              12              12              12              12
515              12              12              12              12              12
516              9              9              9              9              9
517              9              9              9              9              9
518              9              9              9              9              9
519              61              61              61              61              61
520              61              61              61              61              61
521              22              22              22              22              22
522              22              22              22              22              22
523              27.4              27.4              27.4              27.4              27.4
524              12              12              12              12              12
525              12              12              12              12              12
526              9              9              9              9              9
527              9              9              9              9              9
528              9              9              9              9              9
529              61              61              61              61              61
530              61              61              61              61              61
531              22              22              22              22              22
532              22              22              22              22              22
533              27.4              27.4              27.4              27.4              27.4
534              12              12              12              12              12
535              12              12              12              12              12
536              9              9              9              9              9
537              9              9              9              9              9
538              9              9              9              9              9
539              61              61              61              61              61
540              61              61              61              61              61
541              22              22              22              22              22
542              22              22              22              22              22
543              27.4              27.4              27.4              27.4              27.4
544              12              12              12              12              12
545              12              12              12              12              12
