时段数	系统负荷大小（MW）
1             57204
2             60496
3             67080
4             72972
5             77294
6             85374
7             89884
8             94442
9             102230
10             109970
11             113668
12             116892
13             109230
14             101720
15             95290
16             84566
17             80682
18             88220
19             95890
20             110630
21             103506
22             88228
23             73308
24             65452
