机组序号	第一段功率(MW)	第二段功率(MW)	第三段功率(MW)	第四段功率(MW)	第五段功率(MW)
1              61              61              61              61              61
2              61              61              61              61              61
3              22              22              22              22              22
4              22              22              22              22              22
5              27.4              27.4              27.4              27.4              27.4
6              12              12              12              12              12
7              12              12              12              12              12
8              9              9              9              9              9
9              9              9              9              9              9
10              9              9              9              9              9
11              61              61              61              61              61
12              61              61              61              61              61
13              22              22              22              22              22
14              22              22              22              22              22
15              27.4              27.4              27.4              27.4              27.4
16              12              12              12              12              12
17              12              12              12              12              12
18              9              9              9              9              9
19              9              9              9              9              9
20              9              9              9              9              9
21              61              61              61              61              61
22              61              61              61              61              61
23              22              22              22              22              22
24              22              22              22              22              22
25              27.4              27.4              27.4              27.4              27.4
26              12              12              12              12              12
27              12              12              12              12              12
28              9              9              9              9              9
29              9              9              9              9              9
30              9              9              9              9              9
31              61              61              61              61              61
32              61              61              61              61              61
33              22              22              22              22              22
34              22              22              22              22              22
35              27.4              27.4              27.4              27.4              27.4
36              12              12              12              12              12
37              12              12              12              12              12
38              9              9              9              9              9
39              9              9              9              9              9
40              9              9              9              9              9
41              61              61              61              61              61
42              61              61              61              61              61
43              22              22              22              22              22
44              22              22              22              22              22
45              27.4              27.4              27.4              27.4              27.4
46              12              12              12              12              12
47              12              12              12              12              12
48              9              9              9              9              9
49              9              9              9              9              9
50              9              9              9              9              9
51              61              61              61              61              61
52              61              61              61              61              61
53              22              22              22              22              22
54              22              22              22              22              22
55              27.4              27.4              27.4              27.4              27.4
56              12              12              12              12              12
57              12              12              12              12              12
58              9              9              9              9              9
59              9              9              9              9              9
60              9              9              9              9              9
61              61              61              61              61              61
62              61              61              61              61              61
63              22              22              22              22              22
64              22              22              22              22              22
65              27.4              27.4              27.4              27.4              27.4
66              12              12              12              12              12
67              12              12              12              12              12
68              9              9              9              9              9
69              9              9              9              9              9
70              9              9              9              9              9
71              61              61              61              61              61
72              61              61              61              61              61
73              22              22              22              22              22
74              22              22              22              22              22
75              27.4              27.4              27.4              27.4              27.4
76              12              12              12              12              12
77              12              12              12              12              12
78              9              9              9              9              9
79              9              9              9              9              9
80              9              9              9              9              9
81              61              61              61              61              61
82              61              61              61              61              61
83              22              22              22              22              22
84              22              22              22              22              22
85              27.4              27.4              27.4              27.4              27.4
86              12              12              12              12              12
87              12              12              12              12              12
88              9              9              9              9              9
89              9              9              9              9              9
90              9              9              9              9              9
91              61              61              61              61              61
92              61              61              61              61              61
93              22              22              22              22              22
94              22              22              22              22              22
95              27.4              27.4              27.4              27.4              27.4
96              12              12              12              12              12
97              12              12              12              12              12
98              9              9              9              9              9
99              9              9              9              9              9
100              9              9              9              9              9
101              61              61              61              61              61
102              61              61              61              61              61
103              22              22              22              22              22
104              22              22              22              22              22
105              27.4              27.4              27.4              27.4              27.4
106              12              12              12              12              12
107              12              12              12              12              12
108              9              9              9              9              9
109              9              9              9              9              9
110              9              9              9              9              9
111              61              61              61              61              61
112              61              61              61              61              61
113              22              22              22              22              22
114              22              22              22              22              22
115              27.4              27.4              27.4              27.4              27.4
116              12              12              12              12              12
117              12              12              12              12              12
118              9              9              9              9              9
119              9              9              9              9              9
120              9              9              9              9              9
121              61              61              61              61              61
122              61              61              61              61              61
123              22              22              22              22              22
124              22              22              22              22              22
125              27.4              27.4              27.4              27.4              27.4
126              12              12              12              12              12
127              12              12              12              12              12
128              9              9              9              9              9
129              9              9              9              9              9
130              9              9              9              9              9
131              61              61              61              61              61
132              61              61              61              61              61
133              22              22              22              22              22
134              22              22              22              22              22
135              27.4              27.4              27.4              27.4              27.4
136              12              12              12              12              12
137              12              12              12              12              12
138              9              9              9              9              9
139              9              9              9              9              9
140              9              9              9              9              9
141              61              61              61              61              61
142              61              61              61              61              61
143              22              22              22              22              22
144              22              22              22              22              22
145              27.4              27.4              27.4              27.4              27.4
146              12              12              12              12              12
147              12              12              12              12              12
148              9              9              9              9              9
149              9              9              9              9              9
150              9              9              9              9              9
151              61              61              61              61              61
152              61              61              61              61              61
153              22              22              22              22              22
154              22              22              22              22              22
155              27.4              27.4              27.4              27.4              27.4
156              12              12              12              12              12
157              12              12              12              12              12
158              9              9              9              9              9
159              9              9              9              9              9
160              9              9              9              9              9
161              61              61              61              61              61
162              61              61              61              61              61
163              22              22              22              22              22
164              22              22              22              22              22
165              27.4              27.4              27.4              27.4              27.4
166              12              12              12              12              12
167              12              12              12              12              12
168              9              9              9              9              9
169              9              9              9              9              9
170              9              9              9              9              9
171              61              61              61              61              61
172              61              61              61              61              61
173              22              22              22              22              22
174              22              22              22              22              22
175              27.4              27.4              27.4              27.4              27.4
176              12              12              12              12              12
177              12              12              12              12              12
178              9              9              9              9              9
179              9              9              9              9              9
180              9              9              9              9              9
181              61              61              61              61              61
182              61              61              61              61              61
183              22              22              22              22              22
184              22              22              22              22              22
185              27.4              27.4              27.4              27.4              27.4
186              12              12              12              12              12
187              12              12              12              12              12
188              9              9              9              9              9
189              9              9              9              9              9
190              9              9              9              9              9
191              61              61              61              61              61
192              61              61              61              61              61
193              22              22              22              22              22
194              22              22              22              22              22
195              27.4              27.4              27.4              27.4              27.4
196              12              12              12              12              12
197              12              12              12              12              12
198              9              9              9              9              9
199              9              9              9              9              9
200              9              9              9              9              9
