节点序号	负荷比例
1             0.0238136
2             0.041175
3             0.0204601
4             0.0367603
6             0.0331947
7             0.00781051
11             0.0365905
12             0.0402836
13             0.0191867
14             0.00415995
15             0.00250446
16             0.0209695
17             0.0243654
18             0.0326428
19             0.0199932
20             0.00857458
21             0.00114611
22             0.0163002
23             0.0128194
27             0.0334494
28             0.0194414
29             0.0255964
31             0.0234315
32             0.000721623
114             0.0158757
115             0.0353171
117             0.00882927
121             0.0320061
122             0.0286102
125             0.00152814
126             0.0159182
130             0.039477
133             0.00365056
134             0.0227948
136             0.0346804
138             0.0251719
139             0.0181255
141             0.0264454
142             0.0260633
143             0.0319212
144             0.00696154
145             0.0309449
146             0.00080652
147             0.0376093
149             0.0314543
157             0.0204177
