机组序号	所在节点	最大出力(MW)	最小出力(MW)	上爬坡率(MW/h)	下爬坡率 (MW/h)	最小开机时间(h)	最小停机时间(h)	启动成本（元）	"初始状态(1开机,0停机)"	初始出力(MW)	初始状态持续时间(h)
1             4             30             12             1000             1000             1             1             60             1             0             1
2             6             30             12             1000             1000             1             1             60             1             0             1
3             8             30             12             1000             1000             1             1             60             0             0             1
4             10             500             200             1000             1000             10             10             9000             0             1             24
5             12             300             120             1000             1000             10             10             10000             0             1             24
6             15             30             12             1000             1000             1             1             340             0             0             1
7             18             100             40             1000             1000             5             5             520             0             0             5
8             19             30             12             1000             1000             1             1             340             0             0             1
9             24             30             12             1000             1000             1             1             340             0             0             1
10             25             300             120             1000             1000             8             8             9000             0             1             15
11             26             350             140             1000             1000             8             8             10000             0             1             16
12             27             30             12             1000             1000             1             1             340             0             0             1
13             31             30             12             1000             1000             1             1             340             0             0             1
14             32             100             40             1000             1000             5             5             1120             0             0             5
15             34             30             12             1000             1000             1             1             1800             0             0             1
16             36             100             40             1000             1000             5             5             4800             0             0             5
17             40             30             12             1000             1000             1             1             340             0             0             1
18             42             30             12             1000             1000             1             1             340             0             0             1
19             46             100             40             1000             1000             5             5             4800             0             0             5
20             49             250             100             1000             1000             10             10             9000             0             1             10
21             54             250             100             1000             1000             10             10             10000             0             0             10
22             55             100             40             1000             1000             5             5             4800             0             0             5
23             56             100             40             1000             1000             5             5             4800             0             0             5
24             59             200             80             1000             1000             10             10             9000             0             0             10
25             61             200             80             1000             1000             10             10             10000             0             0             10
26             62             100             40             1000             1000             5             5             4800             0             0             5
27             65             420             168             1000             1000             10             10             9000             0             1             20
28             66             420             168             1000             1000             10             10             10000             0             1             20
29             69             300             120             1000             1000             10             10             9000             0             0             15
30             70             80             32             1000             1000             4             4             4800             0             0             4
31             72             30             12             1000             1000             1             1             340             0             0             1
32             73             30             12             1000             1000             1             1             340             0             0             1
33             74             20             8             1000             1000             1             1             340             0             0             1
34             76             100             40             1000             1000             5             5             3800             0             0             5
35             77             100             40             1000             1000             5             5             3800             0             1             5
36             80             500             200             1000             1000             10             10             10000             0             1             24
37             82             100             40             1000             1000             5             5             3800             0             0             5
38             85             30             12             1000             1000             1             1             340             0             0             1
39             87             650             260             1000             1000             10             10             10000             0             1             24
40             89             500             200             1000             1000             10             10             10000             0             1             24
41             90             20             8             1000             1000             1             1             340             0             0             1
42             91             50             20             1000             1000             1             1             340             0             0             1
43             92             300             120             1000             1000             8             8             1120             0             1             15
44             99             300             120             1000             1000             8             8             1800             0             1             15
45             100             300             120             1000             1000             8             8             1800             0             1             15
46             103             20             8             1000             1000             1             1             340             0             0             1
47             104             100             40             1000             1000             5             5             3800             0             0             5
48             105             100             40             1000             1000             5             5             3800             0             0             5
49             107             20             8             1000             1000             1             1             340             0             0             1
50             110             50             20             1000             1000             2             2             60             0             0             2
51             111             100             40             1000             1000             5             5             3800             0             0             5
52             112             100             40             1000             1000             5             5             3800             0             0             5
53             113             100             40             1000             1000             5             5             3800             0             0             5
54             116             100             40             1000             1000             2             2             60             0             0             2
55             148             455             150             70             70             8             8             9000             0             0             8
56             149             455             150             60             60             8             8             10000             0             0             8
57             150             130             20             70             70             5             5             1100             0             0             5
58             151             130             20             70             70             5             5             1120             0             0             5
59             152             162             25             60             60             6             6             1800             0             0             6
60             153             80             20             70             70             3             3             340             0             0             3
61             154             85             25             70             70             3             3             520             0             0             3
62             155             55             10             60             60             1             1             60             0             0             1
63             156             55             10             60             60             1             1             60             0             0             1
64             157             55             10             60             60             1             1             60             0             0             1
