机组序号	第一段功率(MW)	第二段功率(MW)	第三段功率(MW)	第四段功率(MW)	第五段功率(MW)
1              3.6              3.6              3.6              3.6              3.6
2              3.6              3.6              3.6              3.6              3.6
3              3.6              3.6              3.6              3.6              3.6
4              60              60              60              60              60
5              36              36              36              36              36
6              3.6              3.6              3.6              3.6              3.6
7              12              12              12              12              12
8              3.6              3.6              3.6              3.6              3.6
9              3.6              3.6              3.6              3.6              3.6
10              36              36              36              36              36
11              42              42              42              42              42
12              3.6              3.6              3.6              3.6              3.6
13              3.6              3.6              3.6              3.6              3.6
14              12              12              12              12              12
15              3.6              3.6              3.6              3.6              3.6
16              12              12              12              12              12
17              3.6              3.6              3.6              3.6              3.6
18              3.6              3.6              3.6              3.6              3.6
19              12              12              12              12              12
20              30              30              30              30              30
21              30              30              30              30              30
22              12              12              12              12              12
23              12              12              12              12              12
24              24              24              24              24              24
25              24              24              24              24              24
26              12              12              12              12              12
27              50.4              50.4              50.4              50.4              50.4
28              50.4              50.4              50.4              50.4              50.4
29              36              36              36              36              36
30              9.6              9.6              9.6              9.6              9.6
31              3.6              3.6              3.6              3.6              3.6
32              3.6              3.6              3.6              3.6              3.6
33              2.4              2.4              2.4              2.4              2.4
34              12              12              12              12              12
35              12              12              12              12              12
36              60              60              60              60              60
37              12              12              12              12              12
38              3.6              3.6              3.6              3.6              3.6
39              78              78              78              78              78
40              100              100              100              100              100
41              2.4              2.4              2.4              2.4              2.4
42              6              6              6              6              6
43              36              36              36              36              36
44              36              36              36              36              36
45              36              36              36              36              36
46              2.4              2.4              2.4              2.4              2.4
47              12              12              12              12              12
48              12              12              12              12              12
49              2.4              2.4              2.4              2.4              2.4
50              6              6              6              6              6
51              12              12              12              12              12
52              12              12              12              12              12
53              12              12              12              12              12
54              12              12              12              12              12
55              3.6              3.6              3.6              3.6              3.6
56              3.6              3.6              3.6              3.6              3.6
57              3.6              3.6              3.6              3.6              3.6
58              60              60              60              60              60
59              36              36              36              36              36
60              3.6              3.6              3.6              3.6              3.6
61              12              12              12              12              12
62              3.6              3.6              3.6              3.6              3.6
63              3.6              3.6              3.6              3.6              3.6
64              36              36              36              36              36
65              42              42              42              42              42
66              3.6              3.6              3.6              3.6              3.6
67              3.6              3.6              3.6              3.6              3.6
68              12              12              12              12              12
69              3.6              3.6              3.6              3.6              3.6
70              12              12              12              12              12
71              3.6              3.6              3.6              3.6              3.6
72              3.6              3.6              3.6              3.6              3.6
73              12              12              12              12              12
74              30              30              30              30              30
75              30              30              30              30              30
76              12              12              12              12              12
77              12              12              12              12              12
78              24              24              24              24              24
79              24              24              24              24              24
80              12              12              12              12              12
81              50.4              50.4              50.4              50.4              50.4
82              50.4              50.4              50.4              50.4              50.4
83              36              36              36              36              36
84              9.6              9.6              9.6              9.6              9.6
85              3.6              3.6              3.6              3.6              3.6
86              3.6              3.6              3.6              3.6              3.6
87              2.4              2.4              2.4              2.4              2.4
88              12              12              12              12              12
89              12              12              12              12              12
90              60              60              60              60              60
91              12              12              12              12              12
92              3.6              3.6              3.6              3.6              3.6
93              78              78              78              78              78
94              100              100              100              100              100
95              2.4              2.4              2.4              2.4              2.4
96              6              6              6              6              6
97              36              36              36              36              36
98              36              36              36              36              36
99              36              36              36              36              36
100              2.4              2.4              2.4              2.4              2.4
101              12              12              12              12              12
102              12              12              12              12              12
103              2.4              2.4              2.4              2.4              2.4
104              6              6              6              6              6
105              12              12              12              12              12
106              12              12              12              12              12
107              12              12              12              12              12
108              12              12              12              12              12
109              3.6              3.6              3.6              3.6              3.6
110              3.6              3.6              3.6              3.6              3.6
111              3.6              3.6              3.6              3.6              3.6
112              60              60              60              60              60
113              36              36              36              36              36
114              3.6              3.6              3.6              3.6              3.6
115              12              12              12              12              12
116              3.6              3.6              3.6              3.6              3.6
117              3.6              3.6              3.6              3.6              3.6
118              36              36              36              36              36
119              42              42              42              42              42
120              3.6              3.6              3.6              3.6              3.6
121              3.6              3.6              3.6              3.6              3.6
122              12              12              12              12              12
123              3.6              3.6              3.6              3.6              3.6
124              12              12              12              12              12
125              3.6              3.6              3.6              3.6              3.6
126              3.6              3.6              3.6              3.6              3.6
127              12              12              12              12              12
128              30              30              30              30              30
129              30              30              30              30              30
130              12              12              12              12              12
131              12              12              12              12              12
132              24              24              24              24              24
133              24              24              24              24              24
134              12              12              12              12              12
135              50.4              50.4              50.4              50.4              50.4
136              50.4              50.4              50.4              50.4              50.4
137              36              36              36              36              36
138              9.6              9.6              9.6              9.6              9.6
139              3.6              3.6              3.6              3.6              3.6
140              3.6              3.6              3.6              3.6              3.6
141              2.4              2.4              2.4              2.4              2.4
142              12              12              12              12              12
143              12              12              12              12              12
144              60              60              60              60              60
145              12              12              12              12              12
146              3.6              3.6              3.6              3.6              3.6
147              78              78              78              78              78
148              100              100              100              100              100
149              2.4              2.4              2.4              2.4              2.4
150              6              6              6              6              6
151              36              36              36              36              36
152              36              36              36              36              36
153              36              36              36              36              36
154              2.4              2.4              2.4              2.4              2.4
155              12              12              12              12              12
156              12              12              12              12              12
157              2.4              2.4              2.4              2.4              2.4
158              6              6              6              6              6
159              12              12              12              12              12
160              12              12              12              12              12
161              12              12              12              12              12
162              12              12              12              12              12
163              3.6              3.6              3.6              3.6              3.6
164              3.6              3.6              3.6              3.6              3.6
165              3.6              3.6              3.6              3.6              3.6
166              60              60              60              60              60
167              36              36              36              36              36
168              3.6              3.6              3.6              3.6              3.6
169              12              12              12              12              12
170              3.6              3.6              3.6              3.6              3.6
171              3.6              3.6              3.6              3.6              3.6
172              36              36              36              36              36
173              42              42              42              42              42
174              3.6              3.6              3.6              3.6              3.6
175              3.6              3.6              3.6              3.6              3.6
176              12              12              12              12              12
177              3.6              3.6              3.6              3.6              3.6
178              12              12              12              12              12
179              3.6              3.6              3.6              3.6              3.6
180              3.6              3.6              3.6              3.6              3.6
181              12              12              12              12              12
182              30              30              30              30              30
183              30              30              30              30              30
184              12              12              12              12              12
185              12              12              12              12              12
186              24              24              24              24              24
187              24              24              24              24              24
188              12              12              12              12              12
189              50.4              50.4              50.4              50.4              50.4
190              50.4              50.4              50.4              50.4              50.4
191              36              36              36              36              36
192              9.6              9.6              9.6              9.6              9.6
193              3.6              3.6              3.6              3.6              3.6
194              3.6              3.6              3.6              3.6              3.6
195              2.4              2.4              2.4              2.4              2.4
196              12              12              12              12              12
197              12              12              12              12              12
198              60              60              60              60              60
199              12              12              12              12              12
200              3.6              3.6              3.6              3.6              3.6
201              78              78              78              78              78
202              100              100              100              100              100
203              2.4              2.4              2.4              2.4              2.4
204              6              6              6              6              6
205              36              36              36              36              36
206              36              36              36              36              36
207              36              36              36              36              36
208              2.4              2.4              2.4              2.4              2.4
209              12              12              12              12              12
210              12              12              12              12              12
211              2.4              2.4              2.4              2.4              2.4
212              6              6              6              6              6
213              12              12              12              12              12
214              12              12              12              12              12
215              12              12              12              12              12
216              12              12              12              12              12
217              61              61              61              61              61
218              61              61              61              61              61
219              22              22              22              22              22
220              22              22              22              22              22
221              27.4              27.4              27.4              27.4              27.4
222              12              12              12              12              12
223              12              12              12              12              12
224              9              9              9              9              9
225              9              9              9              9              9
226              9              9              9              9              9
227              61              61              61              61              61
228              61              61              61              61              61
229              22              22              22              22              22
230              22              22              22              22              22
231              27.4              27.4              27.4              27.4              27.4
232              12              12              12              12              12
233              12              12              12              12              12
234              9              9              9              9              9
235              9              9              9              9              9
236              9              9              9              9              9
237              61              61              61              61              61
238              61              61              61              61              61
239              22              22              22              22              22
240              22              22              22              22              22
241              27.4              27.4              27.4              27.4              27.4
242              12              12              12              12              12
243              12              12              12              12              12
244              9              9              9              9              9
245              9              9              9              9              9
246              9              9              9              9              9
247              61              61              61              61              61
248              61              61              61              61              61
249              22              22              22              22              22
250              22              22              22              22              22
251              27.4              27.4              27.4              27.4              27.4
252              12              12              12              12              12
253              12              12              12              12              12
254              9              9              9              9              9
255              9              9              9              9              9
256              9              9              9              9              9
257              61              61              61              61              61
258              61              61              61              61              61
259              22              22              22              22              22
260              22              22              22              22              22
261              27.4              27.4              27.4              27.4              27.4
262              12              12              12              12              12
263              12              12              12              12              12
264              9              9              9              9              9
265              9              9              9              9              9
266              9              9              9              9              9
267              61              61              61              61              61
268              61              61              61              61              61
269              22              22              22              22              22
270              22              22              22              22              22
271              27.4              27.4              27.4              27.4              27.4
272              12              12              12              12              12
273              12              12              12              12              12
274              9              9              9              9              9
275              9              9              9              9              9
276              9              9              9              9              9
277              61              61              61              61              61
278              61              61              61              61              61
279              22              22              22              22              22
280              22              22              22              22              22
281              27.4              27.4              27.4              27.4              27.4
282              12              12              12              12              12
283              12              12              12              12              12
284              9              9              9              9              9
285              9              9              9              9              9
286              9              9              9              9              9
287              61              61              61              61              61
288              61              61              61              61              61
289              22              22              22              22              22
290              22              22              22              22              22
291              27.4              27.4              27.4              27.4              27.4
292              12              12              12              12              12
293              12              12              12              12              12
294              9              9              9              9              9
295              9              9              9              9              9
296              9              9              9              9              9
297              61              61              61              61              61
298              61              61              61              61              61
299              22              22              22              22              22
300              22              22              22              22              22
301              27.4              27.4              27.4              27.4              27.4
302              12              12              12              12              12
303              12              12              12              12              12
304              9              9              9              9              9
305              9              9              9              9              9
306              9              9              9              9              9
307              61              61              61              61              61
308              61              61              61              61              61
309              22              22              22              22              22
310              22              22              22              22              22
311              27.4              27.4              27.4              27.4              27.4
312              12              12              12              12              12
313              12              12              12              12              12
314              9              9              9              9              9
315              9              9              9              9              9
316              9              9              9              9              9
317              61              61              61              61              61
318              61              61              61              61              61
319              22              22              22              22              22
320              22              22              22              22              22
321              27.4              27.4              27.4              27.4              27.4
322              12              12              12              12              12
323              12              12              12              12              12
324              9              9              9              9              9
325              9              9              9              9              9
326              9              9              9              9              9
327              61              61              61              61              61
328              61              61              61              61              61
329              22              22              22              22              22
330              22              22              22              22              22
331              27.4              27.4              27.4              27.4              27.4
332              12              12              12              12              12
333              12              12              12              12              12
334              9              9              9              9              9
335              9              9              9              9              9
336              9              9              9              9              9
337              61              61              61              61              61
338              61              61              61              61              61
339              22              22              22              22              22
340              22              22              22              22              22
341              27.4              27.4              27.4              27.4              27.4
342              12              12              12              12              12
343              12              12              12              12              12
344              9              9              9              9              9
345              9              9              9              9              9
346              9              9              9              9              9
347              61              61              61              61              61
348              61              61              61              61              61
349              22              22              22              22              22
350              22              22              22              22              22
351              27.4              27.4              27.4              27.4              27.4
352              12              12              12              12              12
353              12              12              12              12              12
354              9              9              9              9              9
355              9              9              9              9              9
356              9              9              9              9              9
357              61              61              61              61              61
358              61              61              61              61              61
359              22              22              22              22              22
360              22              22              22              22              22
361              27.4              27.4              27.4              27.4              27.4
362              12              12              12              12              12
363              12              12              12              12              12
364              9              9              9              9              9
365              9              9              9              9              9
366              9              9              9              9              9
367              61              61              61              61              61
368              61              61              61              61              61
369              22              22              22              22              22
370              22              22              22              22              22
371              27.4              27.4              27.4              27.4              27.4
372              12              12              12              12              12
373              12              12              12              12              12
374              9              9              9              9              9
375              9              9              9              9              9
376              9              9              9              9              9
377              61              61              61              61              61
378              61              61              61              61              61
379              22              22              22              22              22
380              22              22              22              22              22
381              27.4              27.4              27.4              27.4              27.4
382              12              12              12              12              12
383              12              12              12              12              12
384              9              9              9              9              9
385              9              9              9              9              9
386              9              9              9              9              9
387              61              61              61              61              61
388              61              61              61              61              61
389              22              22              22              22              22
390              22              22              22              22              22
391              27.4              27.4              27.4              27.4              27.4
392              12              12              12              12              12
393              12              12              12              12              12
394              9              9              9              9              9
395              9              9              9              9              9
396              9              9              9              9              9
397              61              61              61              61              61
398              61              61              61              61              61
399              22              22              22              22              22
400              22              22              22              22              22
401              27.4              27.4              27.4              27.4              27.4
402              12              12              12              12              12
403              12              12              12              12              12
404              9              9              9              9              9
405              9              9              9              9              9
406              9              9              9              9              9
407              61              61              61              61              61
408              61              61              61              61              61
409              22              22              22              22              22
410              22              22              22              22              22
411              27.4              27.4              27.4              27.4              27.4
412              12              12              12              12              12
413              12              12              12              12              12
414              9              9              9              9              9
415              9              9              9              9              9
416              9              9              9              9              9
